Year,Total Personal Income Utah,Total Personal Income US,Utah as % of US,Annual Growth Rate Utah,Annual Growth Rate US,Per Capita Personal income Utah,Per Capita Personal income US,Utah as % of US Per Capita
1970,,,0.44,11.4,8.1,,,84.2
1971,4219,923964,0.46,12,8.1,3833,4468,85.8
1972,4713,1015526,0.46,11.7,9.9,4154,4853,85.6
1973,5240,1131213,0.46,11.2,11.4,4483,5352,83.8
1974,5863,1242433,0.47,11.9,9.8,4891,5824,84
1975,6542,1359998,0.48,11.6,9.5,5302,6312,84
1976,7393,1491506,0.5,13,9.7,5810,6856,84.7
1977,8358,1646968,0.51,13.1,10.4,6349,7494,84.7
1978,9601,1851867,0.52,14.9,12.4,7037,8338,84.4
1979,10849,2068806,0.52,13,11.7,7661,9212,83.2
1980,12172,2307005,0.53,12.2,11.5,8266,10153,81.4
1981,13725,2584340,0.53,12.8,12,9056,11262,80.4
1982,14916,2767657,0.54,8.7,7.1,9572,11947,80.1
1983,15956,2957901,0.54,7,6.9,10004,12652,79.1
1984,17598,3268535,0.54,10.3,10.5,10847,13860,78.3
1985,18880,3501927,0.54,7.3,7.1,11492,14719,78.1
1986,19817,3712243,0.53,5,6,11918,15459,77.1
1987,20741,3940859,0.53,4.7,6.2,12360,16265,76
1988,22052,4260753,0.52,6.3,8.1,13053,17426,74.9
1989,23701,4603969,0.51,7.5,8.1,13894,18653,74.5
1990,25737,4890453,0.53,8.6,6.2,14866,19591,75.9
1991,27624,5055766,0.55,7.3,3.4,15521,19985,77.7
1992,29925,5402109,0.55,8.3,6.9,16292,21060,77.4
1993,32312,5639780,0.57,8,4.4,17021,21698,78.4
1994,35051,5930316,0.59,8.5,5.2,17879,22538,79.3
1995,38230,6275761,0.61,9.1,5.8,18981,23568,80.5
1996,41619,6661697,0.62,8.9,6.1,20126,24728,81.4
1997,45005,7075132,0.64,8.1,6.2,21231,25950,81.8
1998,48551,7588703,0.64,7.9,7.3,22416,27510,81.5
1999,51530,7988183,0.65,6.1,5.3,23386,28627,81.7
2000,55621,8634847,0.64,7.9,8.1,24781,30602,81
2001,58719,8987890,0.65,5.6,4.1,25712,31540,81.5
2002,60353,9150761,0.66,2.8,1.8,25960,31815,81.6
2003,62109,9484225,0.65,2.9,3.6,26316,32692,80.5
2004,66152,10047876,0.66,6.5,5.9,27545,34316,80.3
2005,72252,10610320,0.68,9.2,5.6,29398,35904,81.9
2006,80275,11381350,0.71,11.1,7.3,31786,38144,83.3
2007,87395,11995419,0.73,8.9,5.4,33643,39821,84.5
2008,91906,12492705,0.74,5.2,4.1,34512,41082,84
2009,88314,12079444,0.73,-3.9,-3.3,32428,39376,82.4
2010,90483,12459613,0.73,2.5,3.1,32614,40277,81
2011,96889,13233436,0.73,7.1,6.2,34415,42453,81.1
2012,102772,13904485,0.74,6.1,5.1,35995,44266,81.3
2013,106073,14064468,0.75,3.2,1.2,36542,44438,82.2
,110842,14683147,0.75,4.5,4.4,37664,46049,81.8
,115868,15406315,0.75,4.5,4.9,38641,48016,80.5
