ZCTA5,Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
81324,"67,861"
82930,"69,296"
83342,"42,727"
84001,"77,639"
84002,"73,125"
84003,"101,928"
84004,"138,438"
84005,"91,877"
84006,"70,076"
84007,"79,830"
84008,-
84009,"114,664"
84010,"87,253"
84013,"95,625"
84014,"107,808"
84015,"79,704"
84017,"80,117"
84018,-
84020,"116,977"
84021,"57,428"
84022,"95,435"
84023,"43,229"
84024,-
84025,"107,901"
84026,"28,281"
84027,"47,708"
84028,"47,132"
84029,"84,654"
84031,"117,969"
84032,"83,185"
84033,"81,648"
84034,"53,750"
84035,"41,447"
84036,"88,021"
84037,"110,242"
84038,"84,063"
84039,"55,750"
84040,"106,365"
84041,"76,615"
84042,"100,351"
84043,"108,515"
84044,"72,705"
84045,"106,879"
84046,"57,917"
84047,"65,501"
84049,"107,373"
84050,"112,868"
84051,"125,476"
84052,"61,417"
84053,"72,292"
84054,"85,213"
84055,"97,031"
84056,"61,700"
84057,"67,035"
84058,"62,994"
84059,"86,295"
84060,"118,705"
84061,"100,347"
84062,"86,867"
84063,"28,542"
84064,"75,069"
84065,"111,574"
84066,"66,214"
84067,"76,611"
84069,"75,909"
84070,"73,670"
84071,"115,195"
84072,"56,500"
84073,"56,563"
84074,"88,478"
84075,"115,136"
84076,"108,333"
84078,"64,900"
84080,"47,857"
84081,"102,651"
84082,"137,222"
84083,"43,529"
84084,"80,221"
84085,"67,500"
84086,"57,500"
84087,"102,639"
84088,"84,758"
84092,"130,855"
84093,"112,532"
84094,"93,652"
84095,"108,739"
84096,"106,769"
84097,"82,931"
84098,"155,682"
84101,"50,000"
84102,"46,906"
84103,"73,911"
84104,"53,401"
84105,"86,160"
84106,"80,388"
84107,"61,095"
84108,"110,697"
84109,"109,926"
84111,"47,096"
84112,"21,071"
84113,-
84114,-
84115,"47,943"
84116,"56,934"
84117,"71,980"
84118,"76,639"
84119,"58,909"
84120,"76,725"
84121,"101,636"
84123,"67,262"
84124,"104,250"
84128,"91,411"
84129,"80,518"
84138,-
84150,-
84180,-
84301,"65,000"
84302,"67,016"
84304,-
84305,"55,694"
84306,"94,559"
84307,"68,542"
84308,"55,625"
84309,"88,750"
84310,"125,231"
84311,"58,125"
84312,"67,482"
84313,-
84314,"88,864"
84315,"99,594"
84316,"75,764"
84317,"95,885"
84318,"81,597"
84319,"75,714"
84320,"66,406"
84321,"54,040"
84322,-
84324,"109,464"
84325,"103,365"
84326,"71,188"
84327,"66,202"
84328,"81,667"
84329,-
84330,"67,917"
84331,"51,250"
84332,"89,167"
84333,"74,375"
84334,-
84335,"78,780"
84336,"71,250"
84337,"64,102"
84338,"55,500"
84339,"97,045"
84340,"89,779"
84341,"52,466"
84401,"64,932"
84403,"72,320"
84404,"69,664"
84405,"73,418"
84408,-
84414,"96,045"
84501,"50,750"
84511,"62,452"
84512,"45,750"
84513,"53,348"
84515,-
84516,"39,375"
84518,"76,685"
84520,"34,609"
84521,"57,500"
84522,"66,875"
84523,"65,365"
84525,"40,227"
84526,"59,134"
84528,"62,500"
84529,"22,240"
84530,-
84531,-
84532,"52,431"
84533,-
84534,"40,375"
84535,"69,828"
84536,"21,855"
84537,"76,250"
84539,"46,000"
84540,-
84542,"51,827"
84601,"54,239"
84602,"32,604"
84604,"62,081"
84606,"45,754"
84620,"85,000"
84621,-
84622,"63,281"
84623,-
84624,"66,198"
84626,"66,708"
84627,"64,107"
84628,"60,529"
84629,"61,921"
84630,-
84631,"70,263"
84632,"62,386"
84633,"84,531"
84634,"73,375"
84635,"64,500"
84636,"71,250"
84637,"65,417"
84638,"69,375"
84639,"67,679"
84640,"50,000"
84642,"47,131"
84643,"60,786"
84644,"45,000"
84645,"85,917"
84646,"56,154"
84647,"64,063"
84648,"78,021"
84649,"71,367"
84651,"82,637"
84652,"60,714"
84653,"94,560"
84654,"55,469"
84655,"83,657"
84656,"76,250"
84657,"55,714"
84660,"84,709"
84662,"60,250"
84663,"77,286"
84664,"114,449"
84665,"69,167"
84667,"59,635"
84701,"52,973"
84710,"47,813"
84711,"81,000"
84712,"41,339"
84713,"75,395"
84714,"57,314"
84715,"47,917"
84716,"50,625"
84718,-
84719,-
84720,"54,418"
84721,"64,156"
84722,"54,479"
84723,"55,625"
84724,"56,250"
84725,"66,389"
84726,"39,808"
84728,"58,750"
84729,"56,607"
84730,"88,269"
84731,-
84732,"142,955"
84733,-
84734,"34,063"
84735,"87,250"
84736,"62,639"
84737,"58,521"
84738,"64,369"
84739,"57,266"
84740,-
84741,"56,318"
84742,"61,250"
84743,-
84744,"53,182"
84745,"51,058"
84746,"71,792"
84747,"62,188"
84749,"70,000"
84750,"24,079"
84751,"76,964"
84752,"58,125"
84753,-
84754,"61,893"
84755,-
84756,-
84757,"65,833"
84758,"66,964"
84759,"58,667"
84760,"46,042"
84761,"43,705"
84762,-
84763,"39,500"
84764,"51,359"
84765,"84,816"
84766,"75,556"
84767,"64,688"
84770,"60,532"
84772,"36,635"
84773,"34,615"
84774,"80,357"
84775,"79,414"
84776,"40,625"
84779,"76,250"
84780,"78,575"
84781,"111,176"
84782,"64,135"
84783,"59,722"
84784,"62,857"
84790,"73,071"
86044,"19,762"
86514,"37,781"
