ZCTA5,Per capita income in the past 12 months (in 2021 inflation-adjusted dollars)
81324,"39,549"
82930,"29,219"
83342,"21,587"
84001,"24,831"
84002,"35,975"
84003,"37,744"
84004,"50,629"
84005,"24,837"
84006,"27,221"
84007,"29,217"
84008,-
84009,"38,979"
84010,"37,766"
84013,"27,724"
84014,"42,265"
84015,"28,878"
84017,"30,883"
84018,"23,556"
84020,"48,466"
84021,"23,819"
84022,"45,179"
84023,"28,410"
84024,"24,523"
84025,"38,455"
84026,"20,422"
84027,"26,069"
84028,"19,304"
84029,"28,344"
84031,"65,920"
84032,"35,836"
84033,"30,745"
84034,"22,508"
84035,"19,874"
84036,"47,420"
84037,"40,999"
84038,"31,661"
84039,"26,155"
84040,"42,198"
84041,"30,570"
84042,"33,506"
84043,"34,648"
84044,"25,556"
84045,"28,490"
84046,"21,207"
84047,"33,853"
84049,"55,467"
84050,"38,437"
84051,"33,364"
84052,"22,721"
84053,"28,019"
84054,"35,917"
84055,"40,245"
84056,"23,759"
84057,"26,638"
84058,"27,373"
84059,"34,196"
84060,"81,670"
84061,"56,607"
84062,"32,474"
84063,"74,197"
84064,"20,009"
84065,"38,191"
84066,"26,008"
84067,"29,017"
84069,"31,126"
84070,"34,055"
84071,"36,319"
84072,"25,336"
84073,"25,209"
84074,"30,118"
84075,"36,212"
84076,"28,804"
84078,"25,753"
84080,"27,353"
84081,"32,256"
84082,"56,766"
84083,"20,807"
84084,"29,428"
84085,"19,436"
84086,"29,513"
84087,"37,678"
84088,"32,657"
84092,"56,068"
84093,"46,688"
84094,"35,686"
84095,"46,487"
84096,"33,633"
84097,"35,974"
84098,"71,835"
84101,"52,194"
84102,"38,383"
84103,"68,737"
84104,"21,765"
84105,"52,499"
84106,"43,150"
84107,"35,603"
84108,"59,979"
84109,"51,889"
84111,"37,034"
84112,"12,022"
84113,"8,309"
84114,-
84115,"28,645"
84116,"24,472"
84117,"51,678"
84118,"24,522"
84119,"23,053"
84120,"24,663"
84121,"50,772"
84123,"30,413"
84124,"55,211"
84128,"26,804"
84129,"30,604"
84138,-
84150,-
84180,-
84301,"29,253"
84302,"27,330"
84304,"9,460"
84305,"24,732"
84306,"38,965"
84307,"26,168"
84308,"37,580"
84309,"34,478"
84310,"48,846"
84311,"17,627"
84312,"26,295"
84313,"31,221"
84314,"30,245"
84315,"33,991"
84316,"25,345"
84317,"45,061"
84318,"31,236"
84319,"23,895"
84320,"25,527"
84321,"22,367"
84322,-
84324,"34,792"
84325,"41,137"
84326,"29,022"
84327,"26,076"
84328,"32,314"
84329,"62,257"
84330,"31,764"
84331,"26,470"
84332,"36,735"
84333,"26,962"
84334,"15,044"
84335,"25,487"
84336,"18,851"
84337,"26,937"
84338,"23,991"
84339,"35,081"
84340,"34,707"
84341,"26,380"
84401,"29,497"
84403,"36,578"
84404,"28,595"
84405,"30,947"
84408,"17,725"
84414,"33,507"
84501,"23,896"
84511,"24,600"
84512,"17,171"
84513,"20,456"
84515,-
84516,"31,318"
84518,"23,424"
84520,"22,489"
84521,"27,976"
84522,"20,450"
84523,"23,653"
84525,"24,201"
84526,"28,541"
84528,"26,589"
84529,"19,084"
84530,"17,909"
84531,"12,278"
84532,"32,108"
84533,"24,110"
84534,"15,079"
84535,"27,692"
84536,"10,563"
84537,"32,182"
84539,"18,867"
84540,"7,158"
84542,"22,633"
84601,"24,141"
84602,"6,535"
84604,"27,420"
84606,"19,069"
84620,"33,080"
84621,"31,207"
84622,"25,823"
84623,"14,843"
84624,"25,914"
84626,"18,666"
84627,"21,270"
84628,"29,749"
84629,"37,836"
84630,"13,548"
84631,"28,262"
84632,"26,449"
84633,"25,378"
84634,"12,846"
84635,"26,496"
84636,"27,132"
84637,"18,598"
84638,"29,856"
84639,"26,312"
84640,"17,303"
84642,"22,289"
84643,"29,090"
84644,"20,965"
84645,"21,736"
84646,"22,465"
84647,"25,118"
84648,"27,001"
84649,"27,203"
84651,"26,352"
84652,"24,606"
84653,"33,013"
84654,"26,034"
84655,"24,686"
84656,"29,374"
84657,"21,869"
84660,"27,854"
84662,"23,843"
84663,"25,997"
84664,"47,095"
84665,"19,745"
84667,"24,329"
84701,"22,081"
84710,"8,652"
84711,"30,002"
84712,"24,997"
84713,"27,397"
84714,"27,601"
84715,"33,991"
84716,"28,333"
84718,"21,434"
84719,"39,834"
84720,"23,928"
84721,"24,881"
84722,"29,129"
84723,"20,928"
84724,"21,841"
84725,"21,800"
84726,"30,427"
84728,"27,394"
84729,"22,170"
84730,"41,408"
84731,
84732,"45,636"
84733,"36,336"
84734,"19,469"
84735,"28,324"
84736,"20,913"
84737,"29,030"
84738,"36,504"
84739,"25,898"
84740,"13,919"
84741,"36,642"
84742,"48,927"
84743,"16,224"
84744,"13,109"
84745,"18,173"
84746,"31,539"
84747,"27,965"
84749,"30,284"
84750,"18,360"
84751,"22,196"
84752,"21,981"
84753,-
84754,"27,761"
84755,"33,574"
84756,"21,081"
84757,"35,096"
84758,"23,796"
84759,"23,827"
84760,"23,710"
84761,"23,635"
84762,"26,347"
84763,"36,126"
84764,"30,895"
84765,"30,992"
84766,"22,213"
84767,"83,251"
84770,"28,916"
84772,"26,424"
84773,"16,483"
84774,"31,392"
84775,"35,146"
84776,"28,955"
84779,"25,910"
84780,"37,962"
84781,"30,669"
84782,"38,206"
84783,"36,097"
84784,"16,494"
84790,"33,498"
86044,"13,718"
86514,"15,440"
